Centre,Nb_interventions,Cout_total_Dhs,Taux_correctif,Score_risque,Priorite,Latitude,Longitude,Cible
AIT ATTAB,5,7202.0,100.0,55.0,Surveillance,31.9833,-6.35,1
AIT MHAMED,2,888.0,50.0,25.0,Bon état,31.95,-6.5,0
AZILAL,9,4481.32,88.9,71.67,Critique,31.9667,-6.5667,1
BENI AYAT,17,58810.0,88.2,76.46000000000001,Critique,32.2,-6.4167,1
BOUHRAZEN,1,613.0,100.0,35.0,Bon état,32.0,-6.5,0
BZOU,3,1105.0,66.7,35.010000000000005,Bon état,32.1,-6.55,0
BÉNI MELAL,1,773.0,0.0,5.0,Bon état,32.0,-6.5,0
DEMNATE,2,1163.0,100.0,40.0,Surveillance,31.85,-7.0167,0
FOUM JEMAA,18,110050.0,88.9,76.67,Critique,32.1167,-6.4167,1
IMDAHEN,7,4515.5,100.0,65.0,Surveillance,32.0833,-6.45,1
OUAOUIZEGHT,13,7582.0,92.3,77.69,Critique,32.1667,-6.4,1
OUAOULA,2,6298.0,100.0,40.0,Surveillance,32.05,-6.45,0
OUZOUD,11,8135.0,90.9,77.27,Critique,32.0167,-6.7167,1
REFLA,1,1051.0,100.0,35.0,Bon état,32.0,-6.5,0
RFALA,2,1515.0,100.0,40.0,Surveillance,32.25,-6.25,0
TANANT,1,398.0,100.0,35.0,Bon état,31.7833,-6.9167,0
TIFNI,3,4347.0,100.0,45.0,Surveillance,31.9,-6.5,0
TISKI,2,1233.0,100.0,40.0,Surveillance,31.85,-6.5,0
